CHC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
260800;Head of State;Chen Duxiu;1911;1933;1943;LWR;Die-hard Reformer;High;8618;X
260801;Head of Government;Chen Duxiu;1911;1933;1943;LWR;Ambitious Union Boss;High;8618;X
260802;Foreign Minister;Li Dazhao;1918;1924;1927;LWR;Ideological Crusader;High;3043;X
260803;Minister of Security;Li Dazhao;1918;1924;1927;LWR;Man of the People;Medium;3043;X
260804;Minister of Armament;Wang Jinmei;1920;1925;1925;LWR;Resource Industrialist;Medium;8619;X
260805;Chief of Staff;He Long;1926;1961;1961;LWR;School of Manoeuvre;Medium;9219;X
260806;Chief of Navy;He Long;1926;1961;1961;LWR;Open Seas Doctrine;Medium;9219;X
260807;Chief of Army;Ye Ting;1927;1947;1947;LWR;Decisive Battle Doctrine;Medium;9220;X
260808;Chief of Air Force;Ye Ting;1927;1947;1947;LWR;Carpet Bombing Doctrine;Medium;9220;X
260809;Head of Military Intelligence;Deng Xiaoping;1924;1989;1994;LE;Industrial Specialist;High;2338;X
260810;Head of State;Deng Xiaoping;1950;1993;1994;LE;Deng_Xiaoping;High;2338;X
260811;Minister of Armament;Deng Xiaoping;1924;1989;1994;LE;Mixed Economy;High;2338;X
260812;Chief of Staff;Deng Xiaoping;1924;1933;1970;LE;School of Manoeuvre;High;2338;X
260813;Minister of Security;Peng Pai;1920;1930;1930;LE;Crime Fighter;High;M_Peng Pai;X
260814;Minister of Armament;Lin Boqu;1907;1960;1961;LWR;Military Entrepreneur;High;9226;X
260815;Head of Government;Lin Boqu;1907;1960;1961;LWR;Flamboyant Tough Guy;High;9226;X
260816;Foreign Minister;Lin Boqu;1907;1960;1961;LWR;Apologetic Clerk;High;9226;X
260817;Minister of Security;Lin Boqu;1907;1960;1961;LWR;Compassionate Gentleman;High;9226;X
260818;Minister of Security;Xie Juezai;1925;1960;1960;LWR;Man of the People;Medium;9227;X
260819;Head of Military Intelligence;Xie Juezai;1925;1959;1960;LWR;Political Specialist;Medium;9227;X
260820;Chief of Staff;Xu Xiangqian;1927;1981;1982;LWR;School of Manoeuvre;Medium;M51044;X
260821;Minister of Armament;Xu Xiangqian;1927;1981;1982;LWR;Reformer;Medium;M51044;X
260822;Head of Military Intelligence;Peng Zhen;1923;1977;1977;LE;Industrial Specialist;High;M51055;X
260824;Head of State;Zhang Guotao;1920;1939;1963;ST;Ruthless Powermonger;Medium;2337;X
260825;Head of Government;Zhang Guotao;1920;1939;1963;ST;Ambitious Union Boss;Medium;2337;X
260826;Foreign Minister;Zhang Guotao;1920;1939;1963;ST;Biased Intellectual;Medium;2337;X
260827;Chief of Army;Zhang Guotao;1930;1939;1963;ST;Guns and Butter Doctrine;High;2337;X
260828;Chief of Staff;Zhang Guotao;1920;1939;1963;ST;School of Mass Combat;High;2337;X
260829;Foreign Minister;Zhang Wentian;1926;1977;1977;LE;Apologetic Clerk;Medium;M_Zhang Wentian;X
260830;Head of State;Zhang Wentian;1926;1977;1977;ST;Weary Stiffneck;Medium;M_Zhang Wentian;X
260831;Head of Government;Zhang Wentian;1926;1977;1977;LE;Naive Optimist;Medium;M_Zhang Wentian;X
260832;Head of State;Qu Qiubai;1923;1930;1964;ST;Barking Buffoon;High;8620;X
260833;Foreign Minister;Qu Qiubai;1923;1930;1964;ST;The Cloak N Dagger Schemer;High;8620;X
260834;Head of Government;Cai Hesen;1921;1931;1970;LE;Silent Workhorse;High;8621;X
260835;Minister of Armament;Cai Hesen;1921;1931;1970;LE;Administrative Genius;Medium;8621;X
260836;Head of State;Xiang Zhongfa;1928;1931;1946;LE;Barking Buffoon;Low;9221;X
260837;Foreign Minister;Xiang Zhongfa;1928;1931;1946;LE;Biased Intellectual;Low;9221;X
260838;Head of State;Wang Ming;1924;1970;1970;LE;Autocratic Charmer;Medium;9222;X
260839;Head of Government;Wang Ming;1924;1970;1970;LE;Naive Optimist;Medium;9222;X
260840;Minister of Armament;Qin Bangxian;1931;1947;1950;LE;Planned Economy Proponent;Low;9224;X
260841;Minister of Security;Qin Bangxian;1931;1947;1950;LE;Prince of Terror;Low;9224;X
260842;Head of State;Qin Bangxian;1931;1947;1950;LE;Autocratic Charmer;Low;9224;X
260843;Head of Government;Qin Bangxian;1931;1947;1950;LE;Political Protege;Low;9224;X
260844;Chief of Staff;Qin Bangxian;1931;1947;1950;LE;School of Mass Combat;Low;9224;X
260845;Head of Military Intelligence;Otto Braun;1932;1935;1940;ST;Dismal Enigma;Medium;9225;X
260846;Chief of Staff;Otto Braun;1932;1935;1940;ST;School of Psychology;Medium;9225;X
260847;Chief of Army;Otto Braun;1932;1935;1940;ST;Decisive Battle Doctrine;Medium;9225;X
260848;Head of State;Mao Zedong;1921;1977;1977;ST;Mao_Zedong_1;Undying;2334;X
260849;Head of Government;Mao Zedong;1921;1977;1977;ST;Old General;Undying;2334;X
260850;Minister of Security;Mao Zedong;1921;1958;1958;ST;Man of the People;Undying;2334;X
260851;Chief of Army;Mao Zedong;1921;1958;1958;ST;Mao_Zedong_2;Undying;2334;X
260852;Minister of Security;Li Lisan;1927;1931;1964;ST;Prince of Terror;Medium;8622;X
260853;Head of Government;Li Lisan;1928;1931;1964;LE;Ambitious Union Boss;Medium;8622;X
260854;Chief of Staff;Li Lisan;1929;1931;1964;ST;School of Mass Combat;Medium;8622;X
260855;Head of Military Intelligence;Zhou Enlai;1919;1933;1976;LE;Dismal Enigma;Undying;8983;X
260856;Minister of Security;Zhou Enlai;1919;1976;1976;LE;Man of the People;Undying;2339;X
260857;Minister of Armament;Bo Yibo;1928;1983;1983;LE;Military Entrepreneur;Undying;9234;X
260858;Head of Government;Zhou Enlai;1919;1976;1976;LE;Zhou_Enlai;Undying;2339;X
260859;Head of State;Zhou Enlai;1919;1976;1976;LE;Benevolent Gentleman;Undying;2339;X
260860;Chief of Staff;Zhou Enlai;1919;1933;1976;LE;School of Mass Combat;Undying;8983;X
260861;Foreign Minister;Zhou Enlai;1919;1976;1976;LE;Great Compromiser;Undying;2339;X
260862;Minister of Security;Wang Jiaxiang;1928;1959;1972;LE;Back Stabber;Medium;9223;X
260863;Head of Military Intelligence;Wang Jiaxiang;1928;1959;1972;LE;Logistics Specialist;Medium;9223;X
260864;Chief of Army;He Long;1928;1959;1972;LE;Elastic Defence Doctrine;Medium;9219;X
260865;Foreign Minister;Wang Jiaxiang;1928;1959;1972;LE;Apologetic Clerk;Medium;9223;X
260866;Minister of Armament;Peng Dehuai;1926;1959;1964;LE;Reformer;High;2340;X
260867;Chief of Army;Peng Dehuai;1926;1959;1964;LE;Elastic Defence Doctrine;High;2340;X
